"sitename","lat","long","siteid","datasetid","age","depth","Salix","Populus","Picea"
"Upper Capsule Lake",68.630934,-149.417838,10539,16241,4863,175,0.00397614314115308,0,0.00317460317460317
"Upper Capsule Lake",68.630934,-149.417838,10539,16241,5073,180,0.018,0,0.032069970845481
"Upper Capsule Lake",68.630934,-149.417838,10539,16241,5497,190,0.027124773960217,0,0.00508905852417303
"Upper Capsule Lake",68.630934,-149.417838,10539,16241,6136,205,0.0107296137339056,0,0.00955414012738854
"Upper Capsule Lake",68.630934,-149.417838,10539,16241,6354,210,0.0111940298507463,0,0.00831024930747922
"Upper Capsule Lake",68.630934,-149.417838,10539,16241,6893,220,0.0423197492163009,0,0.010443864229765
"Upper Capsule Lake",68.630934,-149.417838,10539,16241,7406,230,0.025531914893617,0.00711743772241993,0.00711743772241993
"Upper Capsule Lake",68.630934,-149.417838,10539,16241,7693,235,0.0259179265658747,0,0.0352941176470588
"Upper Capsule Lake",68.630934,-149.417838,10539,16241,8083,240,0.0175054704595186,0,0.00854700854700855
"Upper Capsule Lake",68.630934,-149.417838,10539,16241,8503,245,0.0528846153846154,0,0.00396825396825397
"Upper Capsule Lake",68.630934,-149.417838,10539,16241,8957,250,0.0300187617260788,0.00284090909090909,0.00568181818181818
"Upper Capsule Lake",68.630934,-149.417838,10539,16241,9213,255,0.0231578947368421,0.0130293159609121,0
"Upper Capsule Lake",68.630934,-149.417838,10539,16241,9311,260,0.0333333333333333,0.00344827586206897,0.00344827586206897
"Upper Capsule Lake",68.630934,-149.417838,10539,16241,9423,265,0.0173913043478261,0.0186046511627907,0
"Upper Capsule Lake",68.630934,-149.417838,10539,16241,9624,270,0.0344827586206897,0.0109289617486339,0
"Upper Capsule Lake",68.630934,-149.417838,10539,16241,10035,280,0.0371900826446281,0,0.00520833333333333
"Upper Capsule Lake",68.630934,-149.417838,10539,16241,10461,290,0.0316455696202532,0.0172413793103448,0
"Upper Capsule Lake",68.630934,-149.417838,10539,16241,10684,295,0.0438095238095238,0,0
"Upper Capsule Lake",68.630934,-149.417838,10539,16241,10978,302,0.0182926829268293,0.0103626943005181,0
