"sitename","lat","long","siteid","datasetid","depth","Salix","Populus","Picea","calibrated_age","age"
"Upper Capsule Lake",68.630934,-149.417838,10539,16241,75,0.0128205128205128,0,0.0218978102189781,1486,1576
"Upper Capsule Lake",68.630934,-149.417838,10539,16241,85,0.017687074829932,0,0.00728597449908925,1739.5,1815
"Upper Capsule Lake",68.630934,-149.417838,10539,16241,95,0.0192644483362522,0,0.015625,1949.5,2059
"Upper Capsule Lake",68.630934,-149.417838,10539,16241,105,0.00614754098360656,0,0.0371747211895911,2337.5,2330
"Upper Capsule Lake",68.630934,-149.417838,10539,16241,115,0.00392156862745098,0,0.0153061224489796,2656,2668
"Upper Capsule Lake",68.630934,-149.417838,10539,16241,125,0.00245700245700246,0,0.0111111111111111,2989.5,3006
"Upper Capsule Lake",68.630934,-149.417838,10539,16241,135,0.00448430493273543,0,0.00595238095238095,3314.5,3348
"Upper Capsule Lake",68.630934,-149.417838,10539,16241,140,0.0309278350515464,0,0.00843881856540084,3458,3519
"Upper Capsule Lake",68.630934,-149.417838,10539,16241,150,0.0116279069767442,0,0.0231958762886598,3789.5,3855
"Upper Capsule Lake",68.630934,-149.417838,10539,16241,155,0.0056710775047259,0,0.005249343832021,3984.5,4022
"Upper Capsule Lake",68.630934,-149.417838,10539,16241,165,0.013671875,0,0.0111111111111111,4443,4420
"Upper Capsule Lake",68.630934,-149.417838,10539,16241,175,0.00397614314115308,0,0.00317460317460317,4816,4863
"Upper Capsule Lake",68.630934,-149.417838,10539,16241,180,0.018,0,0.032069970845481,5017,5073
"Upper Capsule Lake",68.630934,-149.417838,10539,16241,190,0.027124773960217,0,0.00508905852417303,5409.5,5497
"Upper Capsule Lake",68.630934,-149.417838,10539,16241,205,0.0107296137339056,0,0.00955414012738854,6012,6136
"Upper Capsule Lake",68.630934,-149.417838,10539,16241,210,0.0111940298507463,0,0.00831024930747922,6442.5,6354
"Upper Capsule Lake",68.630934,-149.417838,10539,16241,220,0.0423197492163009,0,0.010443864229765,6959.5,6893
"Upper Capsule Lake",68.630934,-149.417838,10539,16241,230,0.025531914893617,0.00711743772241993,0.00711743772241993,7461,7406
"Upper Capsule Lake",68.630934,-149.417838,10539,16241,235,0.0259179265658747,0,0.0352941176470588,7875.5,7693
